name,symmary,link,program_type,program_overview,program_duration,program_requirements,program_fees
Contemporary Literature and Culture MA,An innovative new programme that provides an understanding and appreciation of literature and culture in the contemporary period.,https://www.lboro.ac.uk/study/postgraduate/masters-degrees/a-z/contemporary-literature-and-culture/,postgraduate study,,,"Our entry requirements are listed using standard UK undergraduate degree classifications i.e. first-class honours, upper second-class honours and lower second-class honours. To learn the equivalent for your country, please choose it from the drop-down below.","October 2023 start
UK fee
£11,100 full-time degree per annum
International fee
£22,500 full-time degree per annum"
Corporate Finance MSc,Our MSc Corporate Finance is accredited by the CIMA and will give you the skills to improve financial management practice and launch your career in the sector.,https://www.lboro.ac.uk/study/postgraduate/masters-degrees/a-z/corporate-finance/,postgraduate study,,,"Our entry requirements are listed using standard UK undergraduate degree classifications i.e. first-class honours, upper second-class honours and lower second-class honours. To learn the equivalent for your country, please choose it from the drop-down below.","October 2023 start
UK fee
£16,900 full-time degree per annum
International fee
£29,950 full-time degree per annum"
Creative Writing and the Writing Industries MA,"Distinctive for its attention to the link between writing and publication, this MA has two main aims: to develop the craft and the careers of writers. It offers opportunities to write in a range of literary genres, and to develop writing projects of a publishable standard. Students learn not just how to write but how to find an audience and a publisher and how to interact with cultural heritage, public sector partners, and the local community.",https://www.lboro.ac.uk/study/postgraduate/masters-degrees/a-z/creative-writing-writing-industries/,postgraduate study,,,"Our entry requirements are listed using standard UK undergraduate degree classifications i.e. first-class honours, upper second-class honours and lower second-class honours. To learn the equivalent for your country, please choose it from the drop-down below.","October 2023 start
UK fee
£11,100 full-time degree per annum
International fee
£22,500 full-time degree per annum"
Cyber Security and Data Analytics MSc,"Our Cyber Security and Data Analytics MSc programme in London provides students with the latest principles, practices, tools and techniques in security and data.",https://www.lboro.ac.uk/study/postgraduate/masters-degrees/a-z/cyber-security-data-analytics/,postgraduate study,,,"Our entry requirements are listed using standard UK undergraduate degree classifications i.e. first-class honours, upper second-class honours and lower second-class honours. To learn the equivalent for your country, please choose it from the drop-down below.","October 2023 start
UK fee
£12,100 full-time degree per annum
International fee
£27,950 full-time degree per annum"
Data Driven Design MSc,"Our MSc in Data Driven Design enables you to enhance competencies in data science, data analytics and data-driven skills for gaining insights into competitive markets. Find out more.",https://www.lboro.ac.uk/study/postgraduate/masters-degrees/a-z/data-driven-design-msc/,postgraduate study,,,"Our entry requirements are listed using standard UK undergraduate degree classifications i.e. first-class honours, upper second-class honours and lower second-class honours. To learn the equivalent for your country, please choose it from the drop-down below.","October 2023 start
UK fee
£12,100 full-time degree per annum
International fee
£27,950 full-time degree per annum"
Data Science MSc,"Designed in collaboration with industry partners and supported by funding from the Office for Students (OfS), our new MSc in Data Science conversion programme has a distinctive focus on problem-based learning and offers modules designed to support your career goals and aspirations. Suitable for applicants from both STEM and non-STEM backgrounds, this programme enables you to upskill for careers in data science and OfS scholarships are available for students from underrepresented backgrounds.",https://www.lboro.ac.uk/study/postgraduate/masters-degrees/a-z/data-science/,postgraduate study,,,"Our entry requirements are listed using standard UK undergraduate degree classifications i.e. first-class honours, upper second-class honours and lower second-class honours. To learn the equivalent for your country, please choose it from the drop-down below.","October 2023 start
UK fee
£13,000 full-time degree per annum
International fee
£28,100 full-time degree per annum"
Design and Branding MA,"Based in London, our Design and Branding MA programme will encourage you to explore dynamic, contingent relationships between the strategic use of design and branding.",https://www.lboro.ac.uk/study/postgraduate/masters-degrees/a-z/design-branding/,postgraduate study,,,"Our entry requirements are listed using standard UK undergraduate degree classifications i.e. first-class honours, upper second-class honours and lower second-class honours. To learn the equivalent for your country, please choose it from the drop-down below.","October 2023 start
UK fee
£12,100 full-time degree per annum
International fee
£27,950 full-time degree per annum"
Design Innovation Management MSc,"Our MSc in Design Innovation Management, based at our London campus, will develop your ability to design for a variety of markets across industry sectors.",https://www.lboro.ac.uk/study/postgraduate/masters-degrees/a-z/design-innovation-management/,postgraduate study,,,"Our entry requirements are listed using standard UK undergraduate degree classifications i.e. first-class honours, upper second-class honours and lower second-class honours. To learn the equivalent for your country, please choose it from the drop-down below.","October 2023 start
UK fee
£12,100 full-time degree per annum
International fee
£27,950 full-time degree per annum"
"Design Innovation MA, MSc",The focus of our London-based Design Innovation programme is to communicate the latest knowledge and advances in design.,https://www.lboro.ac.uk/study/postgraduate/masters-degrees/a-z/design-innovation/,postgraduate study,,,"Our entry requirements are listed using standard UK undergraduate degree classifications i.e. first-class honours, upper second-class honours and lower second-class honours. To learn the equivalent for your country, please choose it from the drop-down below.","October 2023 start
UK fee
£12,100 full-time degree per annum
International fee
£27,950 full-time degree per annum"
Digital Creative Media MSc,"Understand, design and develop creative media applications (including smart phone applications) in London with our MSc in Digital Creative Media. Learn more.",https://www.lboro.ac.uk/study/postgraduate/masters-degrees/a-z/digital-creative-media/,postgraduate study,,,"Our entry requirements are listed using standard UK undergraduate degree classifications i.e. first-class honours, upper second-class honours and lower second-class honours. To learn the equivalent for your country, please choose it from the drop-down below.","October 2023 start
UK fee
£12,100 full-time degree per annum
International fee
£27,950 full-time degree per annum"
Digital Entrepreneurship MSc,Our MSc Digital Entrepreneurship will help you with the latest skills to launch your own digital venture or join one. Located in London. Learn more.,https://www.lboro.ac.uk/study/postgraduate/masters-degrees/a-z/digital-entrepreneurship/,postgraduate study,,,"Our entry requirements are listed using standard UK undergraduate degree classifications i.e. first-class honours, upper second-class honours and lower second-class honours. To learn the equivalent for your country, please choose it from the drop-down below.","October 2023 start
UK fee
£17,000 full-time degree per annum
International fee
£29,100 full-time degree per annum"
Digital Finance MSc,Our MSc Digital Finance programme will provide you with a robust understanding of the key principles of digital finance. Located in London. Learn more.,https://www.lboro.ac.uk/study/postgraduate/masters-degrees/a-z/digital-finance/,postgraduate study,,,"Our entry requirements are listed using standard UK undergraduate degree classifications i.e. first-class honours, upper second-class honours and lower second-class honours. To learn the equivalent for your country, please choose it from the drop-down below.","October 2023 start
UK fee
£12,100 full-time degree per annum
International fee
£27,950 full-time degree per annum"
Digital Innovation Management MSc,Our MSc in Digital Innovation Management provides knowledge and expertise in internet technologies with relevant business management aspects.,https://www.lboro.ac.uk/study/postgraduate/masters-degrees/a-z/digital-innovation-management/,postgraduate study,,,"Our entry requirements are listed using standard UK undergraduate degree classifications i.e. first-class honours, upper second-class honours and lower second-class honours. To learn the equivalent for your country, please choose it from the drop-down below.","October 2023 start
UK fee
£12,100 full-time degree per annum
International fee
£27,950 full-time degree per annum"
Digital Marketing MSc,Our MSc in Digital Marketing will give you a thorough grounding in digital marketing and provide you with essential skills. Based in London. Learn more.,https://www.lboro.ac.uk/study/postgraduate/masters-degrees/a-z/digital-marketing/,postgraduate study,,,"Our entry requirements are listed using standard UK undergraduate degree classifications i.e. first-class honours, upper second-class honours and lower second-class honours. To learn the equivalent for your country, please choose it from the drop-down below.","October 2023 start
UK fee
£12,100 full-time degree per annum
International fee
£27,950 full-time degree per annum"
Digital Media and Society MA,Our master's in Digital Media and Society offers a comprehensive understanding of current developments in digital media and their wider social significance.,https://www.lboro.ac.uk/study/postgraduate/masters-degrees/a-z/digital-media-society/,postgraduate study,,,"Our entry requirements are listed using standard UK undergraduate degree classifications i.e. first-class honours, upper second-class honours and lower second-class honours. To learn the equivalent for your country, please choose it from the drop-down below.","October 2023 start
UK fee
£11,100 full-time degree per annum
International fee
£22,500 full-time degree per annum"
Diplomacy and International Relations MSc,Diplomacy and International Relations MSc links theory and practice through the application of concepts and knowledge from scholarly research to the practice of diplomacy and international relations across the world today.,https://www.lboro.ac.uk/study/postgraduate/masters-degrees/a-z/diplomacy-and-international-relations/,postgraduate study,,,"Our entry requirements are listed using standard UK undergraduate degree classifications i.e. first-class honours, upper second-class honours and lower second-class honours. To learn the equivalent for your country, please choose it from the drop-down below.","October 2023 start
UK fee
£12,100 full-time degree per annum
International fee
£24,000 full-time degree per annum"
"Diplomacy, International Business and Trade MSc","Based in London, our Diplomacy, International Business and Trade MSc programme gives you a thorough overview of international business and economic diplomacy. Learn more.",https://www.lboro.ac.uk/study/postgraduate/masters-degrees/a-z/diplomacy-international-business-trade/,postgraduate study,,,"Our entry requirements are listed using standard UK undergraduate degree classifications i.e. first-class honours, upper second-class honours and lower second-class honours. To learn the equivalent for your country, please choose it from the drop-down below.","October 2023 start
UK fee
£12,100 full-time degree per annum
International fee
£24,000 full-time degree per annum"
"Diplomacy, International Politics and Trade MSc","Our MSc in Diplomacy, International Politics and Trade focuses on the skills, knowledge and understanding needed to operate professionally across cultures as well as time zones.",https://www.lboro.ac.uk/study/postgraduate/masters-degrees/a-z/diplomacy-international-politics-trade/,postgraduate study,,,"Our entry requirements are listed using standard UK undergraduate degree classifications i.e. first-class honours, upper second-class honours and lower second-class honours. To learn the equivalent for your country, please choose it from the drop-down below.","October 2023 start
UK fee
£12,100 full-time degree per annum
International fee
£24,000 full-time degree per annum"
Economics and Finance MSc,"Our MSc Economics and Finance equips you to use sought after macroeconomics, microeconomics and econometrics skills in a wide range of banking, finance, government and consultancy careers. Find out more now.",https://www.lboro.ac.uk/study/postgraduate/masters-degrees/a-z/economics-finance/,postgraduate study,,,"Our entry requirements are listed using standard UK undergraduate degree classifications i.e. first-class honours, upper second-class honours and lower second-class honours. To learn the equivalent for your country, please choose it from the drop-down below.","October 2023 start
UK fee
£13,000 full-time degree per annum
International fee
£28,100 full-time degree per annum"
Engineering Design MSc,"Our Engineering Design MSc will enable you to work effectively in an engineering design role, including the design of products, processes and systems. Find out more.",https://www.lboro.ac.uk/study/postgraduate/masters-degrees/a-z/engineering-design/,postgraduate study,,,"Our entry requirements are listed using standard UK undergraduate degree classifications i.e. first-class honours, upper second-class honours and lower second-class honours. To learn the equivalent for your country, please choose it from the drop-down below.","October 2023 start
UK fee
£13,000 full-time degree per annum
International fee
£28,100 full-time degree per annum"
"Entrepreneurship, Finance and Innovation MSc","Our MSc in Entrepreneurship, Finance and Innovation analyses the entrepreneur, the innovation process and the role of financial support. Find out more.",https://www.lboro.ac.uk/study/postgraduate/masters-degrees/a-z/entrepreneurship-finance-innovation/,postgraduate study,,,"Our entry requirements are listed using standard UK undergraduate degree classifications i.e. first-class honours, upper second-class honours and lower second-class honours. To learn the equivalent for your country, please choose it from the drop-down below.","October 2023 start
UK fee
£17,000 full-time degree per annum
International fee
£29,100 full-time degree per annum"
Entrepreneurship and Innovation Management MSc,"Want to understand business and the innovation process? You should take a look at our MSc in Entrepreneurship and Innovation Management, based in London.",https://www.lboro.ac.uk/study/postgraduate/masters-degrees/a-z/entrepreneurship-innovation-management/,postgraduate study,,,"Our entry requirements are listed using standard UK undergraduate degree classifications i.e. first-class honours, upper second-class honours and lower second-class honours. To learn the equivalent for your country, please choose it from the drop-down below.","October 2023 start
UK fee
£17,000 full-time degree per annum
International fee
£29,100 full-time degree per annum"
"Environmental Monitoring, Research and Management MSc","Taught by passionate experts, this MSc will give you the practical skills needed for undertaking successful and sustainable environmental management and research. Find out more and apply now.",https://www.lboro.ac.uk/study/postgraduate/masters-degrees/a-z/environmental-monitoring-research-and-management/,postgraduate study,,,"Our entry requirements are listed using standard UK undergraduate degree classifications i.e. first-class honours, upper second-class honours and lower second-class honours. To learn the equivalent for your country, please choose it from the drop-down below.","October 2023 start
UK fee
£11,100 full-time degree per annum
International fee
£22,500 full-time degree per annum"
"Ergonomics and Human Factors MSc, PGDip, PGCert",Searching for an ergonomics degree? Our MSc Ergonomics and Human Factors programme gives you the skills to create designs optimised for human well-being.,https://www.lboro.ac.uk/study/postgraduate/masters-degrees/a-z/ergonomics-human-factors/,postgraduate study,,,"Our entry requirements are listed using standard UK undergraduate degree classifications i.e. first-class honours, upper second-class honours and lower second-class honours. To learn the equivalent for your country, please choose it from the drop-down below.","October 2023 start
UK fee
£13,000 full-time degree per annum
International fee
£28,100 full-time degree per annum"
The Loughborough Executive MBA MBA,"Our Executive MBA will see you supercharge your career at a triple accredited, top 10 business school with a record of developing innovative and successful leaders.",https://www.lboro.ac.uk/study/postgraduate/masters-degrees/a-z/executive-mba/,postgraduate study,,,"Our entry requirements are listed using standard UK undergraduate degree classifications i.e. first-class honours, upper second-class honours and lower second-class honours. To learn the equivalent for your country, please choose it from the drop-down below.","October 2023 start
UK fee
£32,000 full-time degree per annum
International fee
£32,000 full-time degree per annum"
Finance and Investment MSc,"Want to work in investment finance but don’t have a financial degree? Our CIMA accredited, CFA-affiliated MSc Finance and Investment will fast-track your career. Find out more now.",https://www.lboro.ac.uk/study/postgraduate/masters-degrees/a-z/finance-investment/,postgraduate study,,,"Our entry requirements are listed using standard UK undergraduate degree classifications i.e. first-class honours, upper second-class honours and lower second-class honours. To learn the equivalent for your country, please choose it from the drop-down below.","October 2023 start
UK fee
£16,900 full-time degree per annum
International fee
£29,950 full-time degree per annum"
Finance and Management MSc,Want to work in financial management but don’t have a finance degree? Our CIMA accredited MSc Finance and Management will fast-track your career. Find out more.,https://www.lboro.ac.uk/study/postgraduate/masters-degrees/a-z/finance-management/,postgraduate study,,,"Our entry requirements are listed using standard UK undergraduate degree classifications i.e. first-class honours, upper second-class honours and lower second-class honours. To learn the equivalent for your country, please choose it from the drop-down below.","October 2023 start
UK fee
£15,800 full-time degree per annum
International fee
£27,400 full-time degree per annum"
Finance MSc,"Our MSc Finance is an applied, broad-based programme that will give you the knowledge and skills to work in a wide range of financial roles. Find out more.",https://www.lboro.ac.uk/study/postgraduate/masters-degrees/a-z/finance/,postgraduate study,,,"Our entry requirements are listed using standard UK undergraduate degree classifications i.e. first-class honours, upper second-class honours and lower second-class honours. To learn the equivalent for your country, please choose it from the drop-down below.","October 2023 start
UK fee
£16,900 full-time degree per annum
International fee
£29,950 full-time degree per annum"
Financial Mathematics MSc,Our financial mathematics master’s will give you the skills to succeed in finance or in a research career in stochastic analysis or financial mathematics.,https://www.lboro.ac.uk/study/postgraduate/masters-degrees/a-z/financial-mathematics/,postgraduate study,,,"Our entry requirements are listed using standard UK undergraduate degree classifications i.e. first-class honours, upper second-class honours and lower second-class honours. To learn the equivalent for your country, please choose it from the drop-down below.","October 2023 start
UK fee
£13,000 full-time degree per annum
International fee
£28,100 full-time degree per annum"
The Loughborough Full-Time MBA MBA,Our 1-year Full-Time MBA and 2-year Full-Time MBA with Internship will transform you into an elite business performer and accelerate your career in a global environment. All at a triple-accredited business school.,https://www.lboro.ac.uk/study/postgraduate/masters-degrees/a-z/full-time-mba/,postgraduate study,,,"Our entry requirements are listed using standard UK undergraduate degree classifications i.e. first-class honours, upper second-class honours and lower second-class honours. To learn the equivalent for your country, please choose it from the drop-down below.","October 2023 start
UK fee
£32,000 full-time degree per annum
International fee
£32,000 full-time degree per annum"
Global Communication and Social Change MA,Our MA in Global Communication and Social Change will develop your understanding of communications and development in a changing global context. Find out more.,https://www.lboro.ac.uk/study/postgraduate/masters-degrees/a-z/global-communication-social-change/,postgraduate study,,,"Our entry requirements are listed using standard UK undergraduate degree classifications i.e. first-class honours, upper second-class honours and lower second-class honours. To learn the equivalent for your country, please choose it from the drop-down below.","October 2023 start
UK fee
£12,100 full-time degree per annum
International fee
£24,000 full-time degree per annum"
Global Media and Cultural Industries MA,"Explore the growth and power of global media and cultural industries, and states’ roles in governing them with our MA programme.",https://www.lboro.ac.uk/study/postgraduate/masters-degrees/a-z/global-media-cultural-industries/,postgraduate study,,,"Our entry requirements are listed using standard UK undergraduate degree classifications i.e. first-class honours, upper second-class honours and lower second-class honours. To learn the equivalent for your country, please choose it from the drop-down below.","October 2023 start
UK fee
£11,100 full-time degree per annum
International fee
£22,500 full-time degree per annum"
